Kanji,Onyomi,Kunyomi,English
差,サ,さ・す,difference; discrepancy; distinction; variation; to dispatch; to recover
席,セキ,None,seat; place; mat
式,シキ,None,form; rule; to conform; ceremony; rite
当,トウ,あ・たる、あ・てる,fit; shoulder; bear; appropriate
形,ギョウ、ケイ,かた、かたち,form; shape; style
役,エキ、ヤク,None,role; work; service
必,ヒツ,かなら・ず,certain; inevitable; invariably
念,ネン,None,bear in mind; attention; sense; thought
息,ソク,いき,breath; respiration; interest (on money); son
想,ソ、ソウ,None,concept; idea; think; thought
感,カン,None,emotion; feeling; sensation
成,ジョウ、セイ,な・す、な・る,become; turn into; grow reach; elapse
戦,セン,いくさ、たたか・う,battle; match; war
投,トウ,な・げる,throw; hurl; abandon; give up
折,セツ,おり、お・る、お・れる,bend; break; fold; submit; yield
指,シ,さ・す、ゆび,finger; indicate; point to
敗,ハイ,やぶ・れる,defeat; failure; reversal
数,ス、スウ,かず、かぞ・える,number; figures; to count; fate; plan
昔,シャク、セキ,むかし,antiquity; old times; once upon a time
昨,サク,None,previous; yesterday
晴,セイ,は・らす、は・れる,clear up
曲,キョク,ま・がる、ま・げる,bend; lean; curve; fault; injustice; melody; composition
最,サイ,もっと・も,extreme; most
望,ボウ、モウ,のぞ・む,ambition; aspire to; desire; expect; hope
期,キ、ゴ,None,date; period; term
未,ミ,None,not yet; still; sign of the ram
末,バツ、マツ,すえ,close; end; posterity; tip
束,ソク,たば,control; manage; ream; sheaf
果,カ,は・たす、は・て、は・てる,fruit; finish; complete; achieve
様,ヨウ,さま,polite suffix; manner; situation; way
横,オウ,よこ,horizontal; perverse; side; sideways; unreasonable; width; woof
機,キ,はた,machine; airplane; opportunity; occasion; efficacy
欠,ケツ,か・く、か・ける,lack; gap
次,シ、ジ,つぎ、つ・ぐ,next; order; sequence
歯,シ,は,tooth
残,ザン,のこ・す、のこ・る,leftover; remainder
求,キュウ,もと・める,demand; request; want; wish for
決,ケツ,き・まる、き・める,agree upon; appoint; decide; fix
治,ジ、チ,おさ・まる、おさ・める、なお・す、なお・る,subdue; suppress; calm down; cure; conserve
法,ハッ、ホウ、ホッ,None,law; rule; method; model; principle
活,カツ,None,lively; living; be helped
流,リュウ、ル,なが・す、なが・れる,flow; current; unconfirmed
消,ショウ,き・える、け・す,extinguish; cancel; neutralize; turn off
港,コウ,みなと,harbor
満,マン,み・たす、み・ちる,satisfy; fullness
点,テン,None,point; period; decimal point; speck; spot
熱,ネツ,あつ・い,fever; heat; mania; passion
球,キュウ,たま,ball; sphere
由,ユ、ユイ、ユウ,よし,reason
申,シン,もう・す,to say; to explain
番,バン,None,number in a series
登,ト、トウ,のぼ・る,ascend; climb up
直,ジキ、チョク,ただ・ちに、なお・す、なお・る,frankness; honesty; repair; fix
相,ショウ、ソウ,None,each other; together; mutual; minister of state; phase
石,コク、シャク、セキ,いし,stone
礼,ライ、レイ,None,bow; salute; gratitude; ceremony
神,シン、ジン,かみ,god; soul
科,カ,None,department; section
種,シュ,たね,seed; species; class; variety
笑,ショウ,え・む、わら・う,laugh
箱,None,はこ,bin; box; case
米,ベイ、マイ,こめ,rice; metre; USA
約,ヤク,None,approximately; promise
組,ソ,くみ、く・む,assemble; cooperate; unite; braid
絵,エ、カイ,None,drawing; painting; picture
続,ゾク,つづ・く、つづ・ける,continue; sequel; series
美,ビ,うつく・しい,beautiful; beauty
育,イク,そだ・つ、そだ・てる、はぐく・む,raise; rear; grow up
船,セン,ふね,boat; ship
苦,ク,くる・しい、くる・しむ、くる・しめる、にが・い、にが・る,hardship; suffering; bitterness
葉,ヨウ,は,leaf; plant; paper; time; period
表,ヒョウ,あらわ・す、あらわ・れる、おもて,chart; diagram; surface
要,ヨウ,い・る、かなめ,essence; main point; need
観,カン,None,appearance; condition; view
記,キ,しる・す,mark; sign; to note; to scribe
調,チョウ,しら・べる、ととの・う、ととの・える,prepare; arrange; investigate; move; transfer; tribute; tone; note
談,ダン,None,discuss; talk
議,ギ,None,consideration; debate; deliberation
負,フ,お・う、ま・かす、ま・ける,minus; negative; bear; defeat
費,ヒ,つい・える、つい・やす,spend; waste; expense; cost
路,ロ,None,road; path
辞,ジ,や・める,resign; word; phrase; blame
返,ヘン,かえ・す、かえ・る,return; answer
速,ソク,すみ・やか、はや・い、はや・める,fast; quick
連,レン,つら・なる、つら・ねる、つ・れる,connect; join; continue
遊,ユ、ユウ,あそ・ぶ,play
選,セン,えら・ぶ,choose; select
部,ブ,None,bureau; department; group; government office; bring together; govern
配,ハイ,くば・る,distribute
酒,シュ,さけ,alcohol; sake
関,カン,かか・わる、せき,connection; gateway
雪,セツ,ゆき,snow
面,メン,おも、おもて、つら,face; mask; surface
願,ガン,ねが・う,hope; pray; wish
類,ルイ,たぐ・い,variety; class; kind
飛,ヒ,と・ばす、と・ぶ,fly; skip (pages)
馬,バ,うま、ま,horse
鳴,メイ,な・く、な・らす、な・る,bark; chirp; cry; honk; ring
亡,ボウ、モウ,な・い,deceased; dying; perish
件,ケン,None,item; matter
例,レイ,たと・える,example; precedent
倍,バイ,None,double; times
値,チ,あたい、ね,cost; price; value
備,ビ,そな・える、そな・わる,preparation
優,ユウ,すぐ・れる、やさ・しい,actor; excel; surpass; gentleness
共,キョウ,とも,together; with; alike; both
具,グ,None,container; utensil; detailed; preparation
列,レツ,None,column; row; rank
刻,コク,きざ・む,chop; mince; carve; engrave
割,カツ,さ・く、わり、わ・る、わ・れる,proportion; split; divide
努,ド,つと・める,diligent; toil
務,ム,つと・める,duty; task
勤,キン、ゴン,つと・まる、つと・める,be employed; serve
危,キ,あぶ・ない、あや・うい、あや・ぶむ,dangerous; fear
吸,キュウ,す・う,inhale; suck
呼,コ,よ・ぶ,call; invite
命,ミョウ、メイ,いのち,life; fate; command
和,オ、ワ,なご・む、なご・やか、やわ・らぐ、やわ・らげる,harmony; Japan; Japanese style; peace; soften
喜,キ,よろこ・ぶ,rejoice; enjoy; congratulations
因,イン,よ・る,to depend on; follow; be connected with
困,コン,こま・る,annoyed; distressed
在,ザイ,あ・る,to exist; countryside
型,ケイ,かた,type; model; shape
報,ホウ,むく・いる,news; to report; retaliation
塩,エン,しお,salt
増,ゾウ,ふ・える、ふ・やす、ま・す,add; augment; increase
妻,サイ,つま,wife
婦,フ,None,bride; wife; woman
存,ソン、ゾン,None,exist; to preserve; to know of
宅,タク,None,home; house; my husband
容,ヨウ,None,contain; form; shape
寺,ジ,てら,Buddhist temple
島,トウ,しま,island
希,キ,None,hope; request; sparse; rare
師,シ,None,instructor; master; specialist; metropolis
常,ジョウ,つね,always; continually; ordinary; normal
平,ビョウ、ヘイ,たい・ら、ひら,flat; peace
幸,コウ,さいわ・い、さち、しあわ・せ,fortune; happiness
座,ザ,すわ・る,sit; seat; cushion
庫,ク、コ,None,warehouse
庭,テイ,にわ,courtyard; garden
徒,ト,None,emptiness; futility; go on foot; pupil
得,トク,う・る、え・る,profit; benefit; advantage; gain
忘,ボウ,わす・れる,forget
性,ショウ、セイ,None,gender; nature
悲,ヒ,かな・しい、かな・しむ,sad; regret
情,ジョウ、セイ,なさ・け,circumstances; emotion; feelings; passion
愛,アイ,None,love
才,サイ,None,genius; years old
打,ダ,う・つ,hit; strike
支,シ,ささ・える,branch; support
放,ホウ,はな・す、はな・つ、はな・れる、ほう・る,release; liberate; broadcast; emit
散,サン,ち・らかす、ち・らかる、ち・らす、ち・る,spend; scatter; disperse
整,セイ,ととの・う、ととの・える,arrange; put in order
断,ダン,ことわ・る、た・つ,decline; refuse; decide; absolutely
易,イ、エキ,やさ・しい,simple; easy; smooth; modify; fortune-telling
晩,バン,None,night
景,ケイ,None,scenery; view
札,サツ,ふだ,counter for bonds; paper money
材,ザイ,None,ingredients; materials; talent; timber; wood
格,カク、コウ,None,"case (law, grammar); character; rank; status"
案,アン,None,table; investigate; document; proposition
構,コウ,かま・う、かま・える,build; posture; pretend
欲,ヨク,ほっ・する、ほ・しい,desire; greed; longing; passion
段,ダン,None,stairs
殺,サイ、サツ、セツ,ころ・す,kill; slice off; split
氷,ヒョウ,こおり、ひ,ice; freeze
油,ユ,あぶら,fat; oil
波,ハ,なみ,waves
泣,キュウ,な・く,cry; weep
泳,エイ,およ・ぐ,swim
深,シン,ふか・い、ふか・まる、ふか・める,intensify
済,サイ,す・ます、す・む,come to an end; finish; settle
温,オン,あたた・か、あたた・かい、あたた・まる、あたた・める,warm
無,ブ、ム,な・い,none; not; nothing
然,ゼン、ネン,,however; in that case; burn
焼,ショウ,や・く、や・ける,bake; burn
現,ゲン,あらわ・す、あらわ・れる,actual; existing; present
留,リュウ、ル,と・まる、と・める,fasten; detain; halt
痛,ツウ,いた・い、いた・む、いた・める,damage; hurt; pain
的,テキ,まと,target; mark; obvious; adj ending
確,カク,たし・か、たし・かめる,clear; evident; firm; solid
示,シ、ジ,しめ・す,show; display; express
祭,サイ,まつ・り、まつ・る,ritual; pray; celebrate
積,セキ,つ・む、つ・もる,stack; pile; amass; product of multiplication
窓,ソウ,まど,pane; window
等,トウ,ひと・しい,etc.; similar; equal
細,サイ,こま・か、こま・かい、ほそ・い、ほそ・る,thin; narrow; detailed; precise
経,キョウ、ケイ,へ・る,longitude; boundary; elapse; measure; warp
結,ケツ,むす・ぶ、ゆ・う、ゆ・わえる,bind; join; fasten; contract
給,キュウ,None,bestow on; grant; salary; wage
緑,リョク、ロク,みどり,green
線,セン,None,line; track
練,レン,ね・る,practice; polish; refine
置,チ,お・く,place; put; keep; leave
老,ロウ,お・いる、ふ・ける,grow old; old man
職,ショク,None,employment; work
腹,フク,はら,abdomen; stomach
良,リョウ,よ・い,good; skilled
若,ジャク、ニャク,も・しくは、わか・い,young; immature; perhaps; few in number
草,ソウ,くさ,grass; weeds; herbs; draft; beginning
荷,カ,に,baggage; to bear; to shoulder
落,ラク,お・ちる、お・とす,fall; drop
術,ジュツ,None,skill ;etchnique; art; magic
衣,イ,ころも,clothes; garment
覚,カク,おぼ・える、さ・ます、さ・める,wake up; memorize; remember
解,カイ、ゲ,と・かす、と・く、と・ける,answer; explanation; undo; unravel; cancel; key
認,ニン,みと・める,acknowledge;recognize
警,ケイ,None,caution; warn against; surprise
身,シン,み,self; body
追,ツイ,お・う,chase; follow ;pursue
過,カ,あやま・ち、あやま・つ、す・ぎる、す・ごす,exceed; overdo; error; mistake
達,タツ,None,attain; reach
適,テキ,None,capable; qualified; suitable
量,リョウ,はか・る,amount; quantity; weight; estimate; measure
鉄,テツ,None,iron
閉,ヘイ,し・まる、し・める、と・ざす、と・じる,closed; shut
降,コウ,お・りる、お・ろす、ふ・る,descend; fall; precipitate; surrender
限,ゲン,かぎ・る,limit; restrict
陽,ヨウ,None,in the sun; bright
階,カイ,None,stairs; up and down
際,サイ,きわ,edge; verge; relationship; interval; fate
雑,ザツ、ゾウ,None,mixed; disordered
難,ナン,かた・い、むずか・しい,difficult; tough; misfortune; sorrow; fight; rebuke
雲,ウン,くも,cloud
静,ジョウ、セイ,しず・か、しず・まる、しず・める,quiet
非,ヒ,None,poor; error; blame; non-
並,ヘイ,なみ、なら・びに、なら・ぶ、なら・べる,line up; line; both; identical; ordinary
丸,ガン,まる、まる・い、まる・める,circle; make circular; entirely; perfectly
任,ニン,まか・す、まか・せる,entrust; shoulder; endure; work; duty
似,ジ,に・る,imitate; resemble
余,ヨ,あま・す、あま・る,remainder; surplus
供,キョウ、ク,そな・える、とも,offer; sacrifice; supply
価,カ,あたい,price; value
個,コ,None,individual
冊,サク、サツ,None,tome; volume; counter for books
再,サ、サイ,ふたた・び,again; twice
処,ショ,None,put; fix; place
判,ハン、バン,None,judgement; seal; signature
制,セイ,None,law; rule; system
包,ホウ,つつ・む,conceal; pack up; wrap
卒,ソツ,None,graduate; sudden; private; soldier
印,イン,しるし,sumbol; seal; stamp
卵,ラン,たまご,egg; ovum
厚,コウ,あつ・い,thick; heavy; kind
収,シュウ,おさ・まる、おさ・める,income; obtain; supply; store
吹,スイ,ふ・く,blow; breathe; smoke
周,シュウ,まわ・り,circumference
器,キ,うつわ,container; vessel; talent; ability; tool
坂,ハン,さか,hill; incline; slope
夢,ム,ゆめ,dream; vision
婚,コン,None,marriage
季,キ,None,seasons
寄,キ,よ・せる、よ・る,rely on; entrust to; approach
寝,シン,ね・かす、ね・る,lie down; sleep
専,セン,もっぱ・ら,exclusive; solely; devote oneself to
居,キョ,い・る,exist; reside
届,None,とど・く、とど・ける,arrive; deliver; forward; notify
忙,ボウ,いそが・しい,busy; occupied
慣,カン,な・らす、な・れる,accustomed to; get used to
戻,レイ,もど・す、もど・る,return; arrive
払,フツ,はら・う,pay; oppose
技,ギ,わざ,skill; craft
押,オウ,お・さえる、お・す,push; press; hold down; sign
招,ショウ,まね・く,invite; summon
捨,シャ,す・てる,discard; throw away
授,ジュ,さず・かる、さず・ける,impart; instruct
探,タン,さが・す、さぐ・る,search
接,セツ,つ・ぐ,connect; join; meet
換,カン,か・える、か・わる,change; interchange
星,ショウ、セイ,ほし,star
暖,ダン,あたた・か、あたた・かい、あたた・まる、あたた・める,warmth
暮,ボ,く・らす、く・れる,livelihood; make a living; to set (ex. sunset); close
査,サ,None,investigate
根,コン,ね,root
植,ショク,う・える、う・わる,plant
極,キョク、ゴク,きわ・まる、きわ・み、きわ・める,exterme; pole; very; to decide; to enter into
歳,サイ、セイ,None,age; year; ripen
比,ヒ,くら・べる,compare; ratio
毛,モウ,け,hair; fur
浅,セン,あさ・い,shallow; superficial
浴,ヨク,あ・びせる、あ・びる,bathe; take a shower
混,コン,こ・む、ま・ざる、ま・じる、ま・ぜる,mix; cloud; confuse
減,ゲン,へ・らす、へ・る,decline; decrease; reduce
渡,ト,わた・す、わた・る,deliver; hand over; pass
準,ジュン,None,level; make even; conform; guage; standard
演,エン,None,act; performance; play
煙,エン,けむり、けむ・い、けむ・る,smoke
片,ヘン,かた,fragment; piece; right half
犯,ハン,おか・す,crime; offense
状,ジョウ,None,circumstances; conditions; form
独,ドク,ひと・り,alone; single
玉,ギョク,たま,jewel; sphere
疑,ギ,うたが・う,distrust; doubt; question
疲,ヒ,つか・れる,exhausted; tired
眠,ミン,ねむ・い、ねむ・る,die; sleep
破,ハ,やぶ・る、やぶ・れる,break; destroy; rip; defeat
祖,ソ,None,ancestor; founder
禁,キン,None,ban; prohibit; endure
秒,ビョウ,None,second
移,イ,うつ・す、うつ・る,move; change; transcribe
程,テイ,ほど,rule; law; extent; degree
算,サン,None,abacus; count; calculate
節,セチ、セツ,ふし,knot; joint; knuckle; occasion; chance; punctuation
簡,カン,None,simple;  brevity
精,ショウ、セイ,None,purify; refine; spirit; heart; ghost
糸,シ,いと,string
紅,ク、コウ,くれない、べに,crimson
絶,ゼツ,た・える、た・つ、た・やす,stand; bear; stop; eradicate; extremely; very
緒,ショ、チョ,お,thread; string; connection; beginning
罪,ザイ,つみ,crime; sin
署,ショ,None,signature; government office; role; duty
背,ハイ,せ、せい、そむ・く、そむ・ける,back; behind; abandon; turn one's back on
能,ノウ,None,ability; skill
裏,リ,うら,reverse; backside; internal
規,キ,None,compass; standard; to correct; measure
訪,ホウ,おとず・れる、たず・ねる,visit; call on
許,キョ,ゆる・す,approve; permit
誤,ゴ,あやま・る,error; mistake; wrong
論,ロン,None,argue; discuss; point of view
識,シキ,None,to know; record; write down
財,サイ、ザイ,None,assets; wealth
貧,ヒン、ビン,まず・しい,poverty
責,セキ,せ・める,blame; condemn
農,ノウ,None,agriculture
辺,ヘン,あた・り,boundary; border; vicinity
込,None,こ・む、こ・める,crowded; included; packed
迷,メイ,まよ・う,be lost; confused; unclear; hesitate
退,タイ,しりぞ・く、しりぞ・ける,withdraw; retreat; retire; repel
遅,チ,おく・らす、おく・れる、おそ・い,late; slow
違,イ,ちが・う、ちが・える,differ
郵,ユウ,None,(postal) mail
防,ボウ,ふせ・ぐ,defend; resist; surround; rival; equal
除,ジ、ジョ,のぞ・く,exclude; remove; division (math)
頂,チョウ,いただき、いただ・く,peak; summit
順,ジュン,None,obey; follow; well behaved; order; sequence
預,ヨ,あず・かる、あず・ける,entrust to; deposit
額,ガク,ひたい,forehead; fixed amount; plaque; sign
骨,コツ,ほね,bone
与,ヨ,あた・える,award; bestow; take part in; cooperate
久,キュウ、ク,ひさ・しい,long time
互,ゴ,たが・い,mutually; reciprocally
倒,トウ,たお・す、たお・れる,knock down; fall; collapse
偶,グウ,None,unexpected; accidentally; even number; same kind
到,トウ,None,arrive; attain; invert
刺,シ,さ・さる、さ・す,stab; pierce; calling card
効,コウ,き・く,benefit; efficacy
可,カ,None,can; passable
善,ゼン,よ・い,good; virtuous
均,キン,None,average; level
城,ジョウ,しろ,castle
域,イキ,None,level; limit; range
基,キ,もと、もとい,foundation; basis; be based on
士,シ,None,gentleman; samurai
奥,オウ,おく,interior; all the way inside
娘,None,むすめ,daughter
宝,ホウ,たから,treasure
導,ドウ,みちび・く,guide; lead
布,フ,ぬの,cloth
張,チョウ,は・る,stretch; spread; play (string instrument)
彼,ヒ,かの、かれ,he
怒,ド,いか・る、おこ・る,to become angry
怖,フ,こわ・い,be frightened; afraid
恐,キョウ,おそ・れる、おそ・ろしい,fear; awe
恥,チ,はじ、は・じらう、は・じる、は・ずかしい,dishonor
抱,ホウ,いだ・く、かか・える、だ・く,embrace; hold
普,フ,None,widely; generally; universally
更,コウ,さら、ふ・かす、ふ・ける,to change; alternately; by turns; to pass; futhermore
替,タイ,か・える、か・わる,exchange; substitute
机,キ,つくえ,desk; table
杯,ハイ,さかずき,"counter for cups, glasses"
松,ショウ,まつ,pine tree
汗,カン,あせ,sweat
汚,オ,きたな・い、けが・す、けが・らわしい、けが・れる、よご・す、よご・れる,dirty; pollute; disgrace
泊,ハク,と・まる、と・める,overnight stay
津,シン,つ,harbor; soak; spill; soup; bodily fluid
涙,ルイ,なみだ,tears
燃,ネン,も・える、も・す、も・やす,blaze; burn; glow
猫,ビョウ,ねこ,cat
異,イ,こと,different; uncommon
皆,カイ,みな,all; everything; everyone
盗,トウ,ぬす・む,steal
突,トツ,つ・く,collide; sudden
絡,ラク,から・まる、から・む,entwine; coil around; connect; logical thread
舞,ブ,まい、ま・う,dance; encourage
薄,ハク,うす・い、うす・まる、うす・める、うす・らぐ、うす・れる,"think; shallow; weak (taste, etc.)"
街,カイ、ガイ,まち,street; town
講,コウ,None,reconcile; make peace with; learn; discuss
豆,ズ、トウ,まめ,bean
越,エツ,こ・える、こ・す,exceed; surpass
迎,ゲイ,むか・える,greet; welcome
述,ジュツ,の・べる,mention; relate; speak; state
逃,トウ,に・がす、に・げる、のが・す、のが・れる,escape; evade; set free
逆,ギャク,さか、さか・らう,opposite; reversed
途,ト,None,road; path
震,シン,ふる・う、ふる・える,shake; tremble
靴,カ,くつ,shoes
頼,ライ,たの・む、たの・もしい、たよ・る,request; rely on; trust
髪,ハツ,かみ,hair (on the head)
齢,レイ,None,age
